agent_id,org_id,call_date,users_first_name,users_last_name,users_office_location,total_calls,unique_loans,completed_calls,total_duration,avg_duration,presence,connect_rate
A001,O1,2025-04-28,AgentFirst1,AgentLast1,Bangalore,20,20,2,136.86,6.843000000000001,1,0.1
A002,O1,2025-04-28,AgentFirst2,AgentLast2,Delhi,23,23,3,180.04,7.827826086956521,1,0.13043478260869565
A003,O1,2025-04-28,AgentFirst3,AgentLast3,Mumbai,21,21,8,150.56,7.16952380952381,1,0.38095238095238093
A004,O3,2025-04-28,AgentFirst4,AgentLast4,Bangalore,27,27,4,217.53,8.056666666666667,1,0.14814814814814814
A005,O3,2025-04-28,AgentFirst5,AgentLast5,Bangalore,29,28,4,204.72,7.059310344827586,0,0.13793103448275862
A006,O1,2025-04-28,AgentFirst6,AgentLast6,Chennai,16,16,2,141.4,8.8375,1,0.125
A007,O1,2025-04-28,AgentFirst7,AgentLast7,Bangalore,24,23,5,168.97,7.040416666666666,1,0.20833333333333334
A008,O1,2025-04-28,AgentFirst8,AgentLast8,Mumbai,29,29,8,191.49,6.603103448275863,1,0.27586206896551724
A009,O3,2025-04-28,AgentFirst9,AgentLast9,Bangalore,26,25,7,192.07,7.387307692307692,1,0.2692307692307692
A010,O3,2025-04-28,AgentFirst10,AgentLast10,Mumbai,38,38,7,307.0,8.078947368421053,1,0.18421052631578946
A011,O1,2025-04-28,AgentFirst11,AgentLast11,Chennai,22,22,5,199.47,9.066818181818181,1,0.22727272727272727
A012,O3,2025-04-28,AgentFirst12,AgentLast12,Chennai,20,20,5,142.07,7.1034999999999995,0,0.25
A013,O1,2025-04-28,AgentFirst13,AgentLast13,Delhi,22,22,2,151.28,6.876363636363636,1,0.09090909090909091
A014,O3,2025-04-28,AgentFirst14,AgentLast14,Mumbai,30,30,10,231.03,7.701,1,0.3333333333333333
A015,O2,2025-04-28,AgentFirst15,AgentLast15,Chennai,28,27,4,238.23,8.508214285714285,1,0.14285714285714285
A016,O1,2025-04-28,AgentFirst16,AgentLast16,Delhi,22,22,6,191.44,8.701818181818181,1,0.2727272727272727
A017,O2,2025-04-28,AgentFirst17,AgentLast17,Mumbai,20,19,2,133.45,6.672499999999999,1,0.1
A018,O1,2025-04-28,AgentFirst18,AgentLast18,Bangalore,35,34,6,262.12,7.489142857142857,0,0.17142857142857143
A019,O1,2025-04-28,AgentFirst19,AgentLast19,Chennai,27,27,6,186.78,6.917777777777778,1,0.2222222222222222
A020,O2,2025-04-28,AgentFirst20,AgentLast20,Delhi,21,21,7,137.82,6.562857142857142,1,0.3333333333333333
